Company Name,Link,Official Website,Phone,Address
Aquaristikwelt24 GmbH & Co.KG,https://www.wlw.de/de/firma/aquaristikwelt24-gmbh-cokg-20020560,http://www.aquaristikwelt24.de/,+4962429124437,"Sommerdamm 81, DE-67550 Worms"
Gfaller-Mehl Kunstmühle Haslach GmbH & Co. KG,https://www.wlw.de/de/firma/gfaller-mehl-kunstmuehle-haslach-gmbh-co-kg-1524780,http://www.gfaller-mehl.de/,+4986112027,"Mühlgasse 12, DE-83278 Traunstein"
BeckerComPlan GmbH,https://www.wlw.de/de/firma/beckercomplan-gmbh-1318407,http://www.petshop4you.de/?https%3A%2F%2Fwww.shop4pets.de%2F,+49237250970,"Schottlandstrasse 1, DE-58675 Hemer"
Eugen Straub Kunstmühle GmbH & Co. KG,https://www.wlw.de/de/firma/eugen-straub-kunstmuehle-gmbh-co-kg-1904526,http://straub-muehle.de/,+4973317232,"Schimmelmühle 1, DE-73312 Geislingen an der Steige"
SanaBio GmbH,https://www.wlw.de/de/firma/sanabio-gmbh-1568929,http://www.sanabio.bio/,+4939287639700,"Geschwister-Scholl-Strasse 143a, DE-39218 Schönebeck"
W. Ulrich GmbH,https://www.wlw.de/de/firma/w-ulrich-gmbh-1150621,http://www.ulrichgmbh.de/,+49819393120,"Gewerbering 10, DE-86922 Eresing"
TMC-Import-Export UG,https://www.wlw.de/de/firma/tmc-import-export-ug-1765792,http://www.tmc-rohstoffe.com/,+491704826623,"Bergstrasse 8, DE-06406 Bernburg"
Spezial-Gebäck Oehm GmbH,https://www.wlw.de/de/firma/spezial-gebaeck-oehm-gmbh-610183,http://www.spezialgebaeck-oehm.de/,+4987619531,"Erzgebirgstrasse 13, DE-85368 Moosburg"
TASTE MARKET GmbH,https://www.wlw.de/de/firma/taste-market-gmbh-20018923,http://www.taste-market.de/,+4941652224808,"Rahmstorfer Straße 2, DE-21647 Moisburg"
bojati food GmbH,https://www.wlw.de/de/firma/bojati-food-gmbh-20007164,https://www.bojati-food.de/,+494207666270,"Margarete-Steiff-Straße 10, DE-28876 Oyten"
Pfefferküchlerei Max Schäfer Inhaber Ingo Holling e.K.,https://www.wlw.de/de/firma/pfefferkuechlerei-max-schaefer-inhaber-ingo-holling-ek-1124964,http://www.pfefferkuchen-schaefer.de/,+493595540027,"Waldstrasse 9, DE-01896 Pulsnitz"
Hedwigsburger Okermühle GmbH,https://www.wlw.de/de/firma/hedwigsburger-okermuehle-gmbh-605131,http://www.okermuehle.de/,+495337948970,"Postbergstrasse 14-16, DE-38324 Hedwigsburg"
Becker Feinkost GmbH,https://www.wlw.de/de/firma/becker-feinkost-gmbh-1123169,http://www.becker-feinkost.de/,+4944882126,"Am Detershof 9, DE-26655 Westerstede"
Schwedenhaus-Design.com Inh. Torsten Koch,https://www.wlw.de/de/firma/schwedenhaus-designcom-inh-torsten-koch-1898157,http://www.schwedenhaus-design.com/,+495517893788,"Anna-Vandenhoeck-Ring 5, DE-37081 Göttingen"
Der Rügenshop Birgitta Burgert,https://www.wlw.de/de/firma/der-ruegenshop-birgitta-burgert-1419588,http://www.ruegenshop.eu/,+493838203562,"Hofstrasse 7 A, DE-18528 Patzig auf Rügen"
Horst Walberg Trockenfrucht Import GmbH,https://www.wlw.de/de/firma/horst-walberg-trockenfrucht-import-gmbh-631366,http://www.howa.de/,+49419398190,"Henstedter Strasse 21, DE-24629 Kisdorf"
Kröner-Stärke GmbH,https://www.wlw.de/de/firma/kroener-staerke-gmbh-342911,http://www.kroener-staerke.de/,+49545194470,"Lengericher Strasse 158, DE-49479 Ibbenbüren"
Dankebox,https://www.wlw.de/de/firma/dankebox-1809895,http://www.dankebox.de/,+4921117446416,"Drakestrasse 39, DE-40545 Düsseldorf"
Henry Lamotte Food GmbH,https://www.wlw.de/de/firma/henry-lamotte-food-gmbh-633608,http://www.lamotte-food.de/,+494215239470,"Auf dem Dreieck 3, DE-28197 Bremen"
Organic Natural Inh. Julianna Pinterne Lajos,https://www.wlw.de/de/firma/organic-natural-inh-julianna-pinterne-lajos-1935618,https://www.organic-natural.de/,+4915110532066,"Dr. Gantenberg str. 22, DE-94124 Büchlberg"
Namcha-Asia Discount by Inh. NAD Asiatische Lebensmittel Ltd.,https://www.wlw.de/de/firma/namcha-asia-discount-by-inh-nad-asiatische-lebensmittel-ltd-20038697,https://www.namcha-asia-discount.com/,+491805009825,"Bahnhofstraße 3, DE-66869 Kusel"
Dreiha Handels und Consulting Service e.K,https://www.wlw.de/de/firma/dreiha-handels-und-consulting-service-ek-1926268,http://www.mal-asia.de/,+4970719945187,"Steinlachstrasse 107, DE-72116 Mössingen"
Comic-Portal GbR,https://www.wlw.de/de/firma/comic-portal-gbr-1914227,https://comic-portal.net/,+4935132314841,"Peschelstrasse 33, DE-01139 Dresden"
K & D Backwaren oHG,https://www.wlw.de/de/firma/k-d-backwaren-ohg-1403550,http://www.kd-backwaren.de/,+4961097688600,"Bruno-Dreßler-Strasse 4a, DE-63477 Maintal"
Krüger Halbfabrikate GmbH,https://www.wlw.de/de/firma/krueger-halbfabrikate-gmbh-1593880,http://www.gesmaco.de/,+493628615141,"Quenselstrasse 5, DE-99310 Arnstadt"
Der Gutschmecker Bonbonladen & Feines Inh. Peter Hirche,https://www.wlw.de/de/firma/der-gutschmecker-bonbonladen-feines-inh-peter-hirche-1768074,http://www.gutschmecker.com/,+4946251813500,"Zur Treene 11, DE-24887 Hünning"
Kim Phi Asiafood GmbH,https://www.wlw.de/de/firma/kim-phi-asiafood-gmbh-1622105,https://www.mie-nudeln.de/,+492112396347,"Höherweg 313, DE-40231 Düsseldorf"
Lausitzer Delikatessen Inh. Jens Lunardon,https://www.wlw.de/de/firma/lausitzer-delikatessen-inh-jens-lunardon-1839449,http://www.lausitzer-delikatessen.de/,+493533510852,"Gordener Strasse 94, DE-04928 Plessa"
Bonbonladen & Feines,https://www.wlw.de/de/firma/bonbonladen-feines-1783892,http://www.gutschmecker.com/,+4943238038703,"Lindenallee 25, DE-24601 Ruhwinkel"
Salewski Feinkost GmbH,https://www.wlw.de/de/firma/salewski-feinkost-gmbh-1865767,http://www.elena-tk.de/,+492035521365,"Gelderblomstrasse 1, DE-47138 Duisburg"
The Lorenz Bahlsen Snack World GmbH & Co KG,https://www.wlw.de/de/firma/the-lorenz-bahlsen-snack-world-gmbh-co-kg-467844,http://www.lorenz-snackworld.de/,+4961022930,"Rathenaustrasse 54, DE-63263 Neu-Isenburg"
Meybona Schokoladenfabrik Meyerkamp GmbH & Co KG,https://www.wlw.de/de/firma/meybona-schokoladenfabrik-meyerkamp-gmbh-co-kg-376442,http://www.meybona.de/,+49573290500,"Alter Postweg 255, DE-32584 Löhne"
Kalle-Bäcker,https://www.wlw.de/de/firma/kalle-baecker-613084,http://www.kalle-baecker.de/,+49485195550,"Feldstrasse 58a, DE-25709 Marne"
C.F. Rolle GmbH Mühle,https://www.wlw.de/de/firma/cf-rolle-gmbh-muehle-433543,http://www.rolle-muehle.de/,+49372534730,"Zschopenthal 15, DE-09437 Waldkirchen"
Bäckerei-Konditorei Padeffke GmbH,https://www.wlw.de/de/firma/baeckerei-konditorei-padeffke-gmbh-1082184,http://www.baeckerei-padeffke.de/,+49747394420,"Im Bärengarten 6, DE-72116 Mössingen"
Bäckerei Schneider,https://www.wlw.de/de/firma/baeckerei-schneider-1091654,https://www.baecker-schneider.de/,+493490982127,"Töpferbergstrasse 32, DE-06385 Aken"
Mehlhorn Bautenschutz,https://www.wlw.de/de/firma/mehlhorn-bautenschutz-1126386,http://www.mehlhornbau.de/,+4938657002,"Straße der Jugend 18, DE-19075 Holthusen"
Vollwertbäcker Schneider KG,https://www.wlw.de/de/firma/vollwertbaecker-schneider-kg-388453,http://www.vollwertbaecker-schneider.de/,+498214552100,"Benzstrasse 1, DE-86356 Neusäß"
Mühle Steinmeyer Karin Steinmeyer Müllermeisterin,https://www.wlw.de/de/firma/muehle-steinmeyer-karin-steinmeyer-muellermeisterin-469707,https://www.muehle-steinmeyer.de/,+493371610770,"Ruhlsdorfer Chaussee 26, DE-14943 Luckenwalde"
Hubert Steffl,https://www.wlw.de/de/firma/hubert-steffl-1078258,http://www.hofbaeckerei-steingraber.de/,N/A,"Neuburgstrasse 2, DE-83620 Feldkirchen-Westerham"
Bäcker Bachmeier GmbH & Co. KG,https://www.wlw.de/de/firma/baecker-bachmeier-gmbh-co-kg-933852,N/A,N/A,N/A
Snackmaster Tiefkuehlprodukte GmbH & Co. KG,https://www.wlw.de/de/firma/snackmaster-tiefkuehlprodukte-gmbh-co-kg-1097161,http://www.schwarmstedter.de/,N/A,"Alter Heuweg 25, DE-29690 Schwarmstedt"
Otto Schall,https://www.wlw.de/de/firma/otto-schall-1093412,http://www.otto-schall.de/,N/A,"Meckenheimer Strasse 14, DE-67067 Ludwigshafen"
Insel-Bäckerei Helmut Börke & Sohn,https://www.wlw.de/de/firma/insel-baeckerei-helmut-boerke-sohn-1088384,http://www.inselbaeckerei-boerke.de/,N/A,"Osterstrasse 2, DE-23769 Fehmarn"
Münsterländer Wurst- und Fleischwaren GmbH & Co KG,https://www.wlw.de/de/firma/muensterlaender-wurst-und-fleischwaren-gmbh-co-kg-1089782,https://www.ms-laender.de/,+492561963990,"Von-Braun-Strasse 77, DE-48683 Ahaus"
De Heidbäcker GmbH,https://www.wlw.de/de/firma/de-heidbaecker-gmbh-1081990,http://www.heidbaecker.de/,+49413321300,"Hauptstrasse 43, DE-21357 Wittorf"
Bäckerei Konditorei Buchmüller,https://www.wlw.de/de/firma/baeckerei-konditorei-buchmueller-1082166,http://www.baeckerei-buchmueller.de/,+49632166093,"Kurpfalzstrasse 6, DE-67435 Neustadt"
Tenterâ€™s Backhaus,https://www.wlw.de/de/firma/tenteras-backhaus-1079246,http://www.tenters-backhaus.de/,+4917216426,"Theodor-Barth-Strasse 19, DE-28307 Bremen"
Bäckerei Konditorei Café Herzog,https://www.wlw.de/de/firma/baeckerei-konditorei-cafe-herzog-1082265,https://cafe-altmuehlsee.de/,+499175308,"Hauptstrasse 11, DE-91720 Absberg"
Eberswalder Brot-und Feinbackwaren GmbH,https://www.wlw.de/de/firma/eberswalder-brot-und-feinbackwaren-gmbh-1085405,http://www.maerkisch-edel.de/,+493334270630,"Angermünder Strasse 50, DE-16227 Eberswalde"
Brotgarten GmbH & Co. KG,https://www.wlw.de/de/firma/brotgarten-gmbh-co-kg-1079744,http://www.brotgarten-kiel.de/,+49431579740,"Liebigstrasse 29, DE-24145 Kiel"
Bäckerei und Konditorei Heisters GmbH & Co. KG,https://www.wlw.de/de/firma/baeckerei-und-konditorei-heisters-gmbh-co-kg-1131705,http://www.baeckerei-heisters.de/,+492203966100,"Viehtrift 31, DE-51147 Köln"
Bäckerei Jaich GmbH,https://www.wlw.de/de/firma/baeckerei-jaich-gmbh-1203845,http://www.baeckerei-jaich.de/,+49462132280,"Friedrichstrasse 93, DE-24837 Schleswig"
Bäckerei Happ GmbH & Co. KG,https://www.wlw.de/de/firma/baeckerei-happ-gmbh-co-kg-1190245,http://www.baecker-happ.de/,+49665596210,"Fuldaer Strasse 13, DE-36119 Neuhof"
Zentis GmbH & Co. KG,https://www.wlw.de/de/firma/zentis-gmbh-co-kg-1245078,http://www.zentis.de/,+4924147600,"Jülicher Strasse 177, DE-52070 Aachen"
Bayernhof GmbH,https://www.wlw.de/de/firma/bayernhof-gmbh-1161757,http://www.bayernhof.de/,+499426852180,"Prof.-Reger-Strasse 22, DE-94339 Hankofen"
rosmarin BIOBACK OHG,https://www.wlw.de/de/firma/rosmarin-bioback-ohg-1271353,http://www.rosmarin-bioback.de/,+4954117333,"Hügelstrasse 65, DE-49088 Osnabrück"
Ralf Schneider Schneiders Backwaren,https://www.wlw.de/de/firma/ralf-schneider-schneiders-backwaren-1256559,http://www.schneiders-backwaren.de/,+497842995900,"Waldulmerstrasse 12, DE-77876 Kappelrodeck"
Fölster Lebensmittel-Großhandel GmbH,https://www.wlw.de/de/firma/foelster-lebensmittel-grosshandel-gmbh-1521996,http://www.foelster-wasbek.de/,+494321969671,"Schmalenbrook 8, DE-24647 Wasbek"
Getreidemühle Switalski,https://www.wlw.de/de/firma/getreidemuehle-switalski-1567856,http://www.switalski-muehle.de/,+4992192862,"Döhlau 8, DE-95466 Weidenberg"
H.J. Heinz GmbH,https://www.wlw.de/de/firma/hj-heinz-gmbh-1585672,http://sonnen-bassermann.de/,+49538171218,"Harzstrasse 10, DE-38723 Seesen"
MARZIALE COOLINARIA GmbH,https://www.wlw.de/de/firma/marziale-coolinaria-gmbh-1670045,http://www.marziale.de/,+497022218280,"Max-Born-Strasse 7, DE-72622 Nürtingen"
Bäckerei Herbert Meyer & Sohn GmbH,https://www.wlw.de/de/firma/baeckerei-herbert-meyer-sohn-gmbh-1085423,https://www.baeckerei-meyer.de/,+49583596950,"Hauptstrasse 46, DE-29399 Wahrenholz"
creativpartner Agentur für Werbung und Marketing GmbH,https://www.wlw.de/de/firma/creativpartner-agentur-fuer-werbung-und-marketing-gmbh-1061011,http://www.creativpartner.com/,+4985419679770,"Weidenhof 1, DE-94474 Vilshofen"
Rosenmühle GmbH,https://www.wlw.de/de/firma/rosenmuehle-gmbh-504368,https://www.rosenmehl.de/,+4987178090,"Meisenstrasse 32, DE-84030 Ergolding"
Backhaus Grimminger GmbH,https://www.wlw.de/de/firma/backhaus-grimminger-gmbh-1834696,http://www.backhaus-grimminger.de/,+4989939486910,"Heimstettener Strasse 1, DE-85599 Vaterstetten"
Abbelen GmbH,https://www.wlw.de/de/firma/abbelen-gmbh-325874,http://www.abbelen.de/,+49215697890,"Kempener Strasse 22, DE-47918 Tönisvorst"
Annaberger Backwaren GmbH,https://www.wlw.de/de/firma/annaberger-backwaren-gmbh-402845,http://www.annaberger-backwaren.de/,+4937335020,"Alte Königswalder Strasse 1, DE-09456 Annaberg-Buchholz"
Mühle Kottmann GmbH,https://www.wlw.de/de/firma/muehle-kottmann-gmbh-328375,N/A,+49218122790,"Brückenstrasse 2-6, DE-41516 Grevenbroich"
Jäckering Grund- und Rohstoffverarbeitung GmbH & Co. KG,https://www.wlw.de/de/firma/jaeckering-grund-und-rohstoffverarbeitung-gmbh-co-kg-324265,https://www.jaeckering.de/,+492381422114,"Vorsterhauser Weg 46, DE-59067 Hamm"
Säcke Hinrichs GmbH,https://www.wlw.de/de/firma/saecke-hinrichs-gmbh-349969,https://www.saecke-hinrichs.de/,+4942219329210,"Delmenhorster Strasse 330, DE-28816 Stuhr-Varrel"
Loryma GmbH,https://www.wlw.de/de/firma/loryma-gmbh-472445,http://www.loryma.de/,+49625117990,"Am Falltor 3, DE-64673 Zwingenberg"
Apetito Convenience AG & Co. KG,https://www.wlw.de/de/firma/apetito-convenience-ag-co-kg-323901,http://www.apetito.de/,+4959717990,"Bonifatiusstrasse 305, DE-48432 Rheine"
SPREEwaffel Berlin-Pankow GmbH,https://www.wlw.de/de/firma/spreewaffel-berlin-pankow-gmbh-457126,http://www.spreewaffel.de/,+49304720112,"Thulestrasse 28-30, DE-13189 Berlin"
Brandt Backwaren Vertriebs GmbH,https://www.wlw.de/de/firma/brandt-backwaren-vertriebs-gmbh-575489,http://brandt-zwieback.de/,+4923314770,"Enneper Strasse 152, DE-58135 Hagen"
Wikana Keks und Nahrungsmittel GmbH,https://www.wlw.de/de/firma/wikana-keks-und-nahrungsmittel-gmbh-456282,http://www.wikana.de/,+493491429860,"Dessauer Strasse 8, DE-06886 Lutherstadt Wittenberg"
Böklunder Fleischwarenfabrik GmbH & Co. KG,https://www.wlw.de/de/firma/boeklunder-fleischwarenfabrik-gmbh-co-kg-613431,http://www.boeklunder.de/,+494623770,"Gewerbestrasse 1, DE-24860 Böklund"
LARU GmbH,https://www.wlw.de/de/firma/laru-gmbh-620637,http://laru.de/de/index.html,+49204174730,"Weusterstrasse 25, DE-46240 Bottrop"
Bernhard Voss Bäckerei Betrieb GmbH & Co. KG,https://www.wlw.de/de/firma/bernhard-voss-baeckerei-betrieb-gmbh-co-kg-617595,http://www.baeckerei-voss.de/,+492553937620,"Teupenhook 1, DE-48607 Ochtrup"
Walter Schuh,https://www.wlw.de/de/firma/walter-schuh-623939,http://www.schuh-dortmund.de/,+49231212227,"Rüdigerstrasse 6, DE-44319 Dortmund"
Harry-Brot GmbH,https://www.wlw.de/de/firma/harry-brot-gmbh-607036,http://www.harry-brot.de/,+49309301014255,"Wolfener Strasse 14, DE-12681 Berlin"
"Simon Kraus GmbH Kunstmühle, Dachau Würmmühle",https://www.wlw.de/de/firma/simon-kraus-gmbh-kunstmuehle-dachau-wuermmuehle-1905057,http://wuermmuehle.de/,+49813115546,"Würmmühle 1, DE-85221 Dachau"
Wilhelm Prünte GmbH,https://www.wlw.de/de/firma/wilhelm-pruente-gmbh-658188,http://www.pruente-brot.de/,+49209947850,"An der Landwehr 1, DE-45883 Gelsenkirchen"
Angelika Rink,https://www.wlw.de/de/firma/angelika-rink-956230,http://www.rink-versand.de/,+497667940538,"Brünneleweg 9, DE-79206 Breisach"
Brezel Ecker GmbH,https://www.wlw.de/de/firma/brezel-ecker-gmbh-1078137,http://www.brezel-ecker.de/,+49684197160,"Vogelbacher Weg 90-92, DE-66424 Homburg"
The Lorenz Bahlsen Snack-World GmbH & Co KG,https://www.wlw.de/de/firma/the-lorenz-bahlsen-snack-world-gmbh-co-kg-941944,http://www.lorenz-snackworld.de/,+499672460,"Industriestrasse 11, DE-92431 Neunburg vorm Wald"
Ulmer GmbH,https://www.wlw.de/de/firma/ulmer-gmbh-1064662,http://www.baeckerei-ulmer.de/,+49754150260,"Am Rohrbach 12, DE-88045 Friedrichshafen"
Bäckerei Geisen GmbH,https://www.wlw.de/de/firma/baeckerei-geisen-gmbh-1091392,http://www.baeckerei-geisen.de/,+49262290380,"Fuchspfad 6, DE-56566 Neuwied"
KARL KEMPER Convenience GmbH,https://www.wlw.de/de/firma/karl-kemper-convenience-gmbh-1091382,http://www.karlkemper.de/,+4928619470,"Siemensstrasse 11, DE-46325 Borken"
REWE Markt GmbH,https://www.wlw.de/de/firma/rewe-markt-gmbh-1090187,https://shop.rewe.de/?ecid=dim_b2b_ls_wlw_generic_profil_nn_nn_pm01,+492211490,"Domstrasse 20, DE-50668 Köln"
Schmälzle Fleischwaren GmbH,https://www.wlw.de/de/firma/schmaelzle-fleischwaren-gmbh-1094148,http://www.schmaelzle.de/,+497121994240,"Gutenbergstrasse 20, DE-72793 Pfullingen"
Nordbräu Ingolstadt GmbH & Co. KG,https://www.wlw.de/de/firma/nordbraeu-ingolstadt-gmbh-co-kg-1145702,http://www.nordbraeu.de/,+49841955960,"Gutsstrasse 5, DE-85055 Ingolstadt"
Bäckerei + Konditorei Härle GmbH,https://www.wlw.de/de/firma/baeckerei-konditorei-haerle-gmbh-1079135,http://www.baeckerei-haerle.de/,+49832181958,"Sonthofener Strasse 11, DE-87544 Blaichach"
Peter Backwaren oHG,https://www.wlw.de/de/firma/peter-backwaren-ohg-1119244,http://www.baecker-peter.de/,+492018623330,"Zur Schmiede 13, DE-45141 Essen"
H. Jäckering GmbH & Co.KG,https://www.wlw.de/de/firma/h-jaeckering-gmbh-cokg-1125364,https://www.jaeckering.de/,+4925944057,"Lüdinghauser Strasse 119, DE-48249 Dülmen"
Jesuiten-Quelle Mineralbrunnen GmbH,https://www.wlw.de/de/firma/jesuiten-quelle-mineralbrunnen-gmbh-1248955,http://www.nordbraeu.de/,+49841955960,"Gutsstrasse 5, DE-85055 Ingolstadt"
BÄKO WEST eG Bäcker- und Konditorengenossenschaft,https://www.wlw.de/de/firma/baeko-west-eg-baecker-und-konditorengenossenschaft-1109976,http://www.baekowest.de/,+49215481020,"Linsellesstrasse 93, DE-47877 Willich"
Konditorei Brommler GmbH,https://www.wlw.de/de/firma/konditorei-brommler-gmbh-1255658,http://www.tiefkuehlkonditorei.de/,+498331990460,"Waldfriedhofstrasse 17, DE-87700 Memmingen"
Me.Ta. Import Export GmbH,https://www.wlw.de/de/firma/meta-import-export-gmbh-1397091,http://www.me-ta.de/,+496987001820,"Hanauer Landstrasse 208-216, DE-60314 Frankfurt"
Karl Preuß GmbH & Co.,https://www.wlw.de/de/firma/karl-preuss-gmbh-co-1519586,http://www.wez.de/,+4957139080,"Viktoriastrasse 27, DE-32423 Minden"
Gastro-Sun,https://www.wlw.de/de/firma/gastro-sun-1507670,https://www.gastro-sun.de/,+4936459554150,"Sophienstrasse 11, DE-99444 Blankenhain"
WEIHE GmbH,https://www.wlw.de/de/firma/weihe-gmbh-1523527,http://www.weihe.de/,+4930398900,"Beusselstrasse 44 N-Q, DE-10553 Berlin-Fruchthof"
Kurz-Mühlen GmbH & Co KG,https://www.wlw.de/de/firma/kurz-muehlen-gmbh-co-kg-1500442,http://www.kurz-muehlen.de/,+49833192440,"Max-Planck-Strasse 11, DE-87700 Memmingen"
Back&Frost Leipzig GmbH & Co. KG,https://www.wlw.de/de/firma/backfrost-leipzig-gmbh-co-kg-1577655,http://www.backundfrost.de/,+493420583800,"Bischofstrasse 23b, DE-04178 Leipzig"
Bäcker Andresen & Sohn oHG,https://www.wlw.de/de/firma/baecker-andresen-sohn-ohg-1519239,http://www.baecker-andresen.de/,+494321569690,"Haberstrasse 30, DE-24537 Neumünster"
Roland Mills West GmbH,https://www.wlw.de/de/firma/roland-mills-west-gmbh-1586036,http://www.millsunited.de/,+49236166080,"Am Stadthafen 22, DE-45663 Recklinghausen"
FORBRIGER BACKWAREN GMBH,https://www.wlw.de/de/firma/forbriger-backwaren-gmbh-1819375,http://www.baeckerei-forbriger.de/,+49376562318,"Obermylauer Weg 39, DE-08468 Reichenbach"
MySweetbox Inh. Birte Herrmann,https://www.wlw.de/de/firma/mysweetbox-inh-birte-herrmann-1849270,http://www.mysweetbox.de/,+494526307716,"Trentrade 29, DE-24326 Ascheberg"
Ursula Graf,https://www.wlw.de/de/firma/ursula-graf-1633480,http://www.graf-anlagen.de/,+498282828993,"Schloßberg 6, DE-86381 Krumbach"
Göing GmbH & Co. KG,https://www.wlw.de/de/firma/goeing-gmbh-co-kg-1861208,http://www.goeing.de/,+49511637070,"Beneckeallee 30, DE-30419 Hannover"
BARD-Metzgerei-Produkte GmbH,https://www.wlw.de/de/firma/bard-metzgerei-produkte-gmbh-1861297,http://www.bard-schnellekueche.de/,+49681998360,"Lyonerring 10, DE-66121 Saarbrücken"
Bäckerhaus Veit GmbH,https://www.wlw.de/de/firma/baeckerhaus-veit-gmbh-1861119,http://www.baeckerhaus-veit.de/,+49712393990,"Weidachstrasse 8, DE-72658 Bempflingen"
Mauel 1883 GmbH,https://www.wlw.de/de/firma/mauel-1883-gmbh-1861897,https://mauel1883.de/,+492225915000,"Mühlgrabenstrasse 3, DE-53340 Meckenheim"
MÜHLENWERKE STAHMELN GMBH,https://www.wlw.de/de/firma/muehlenwerke-stahmeln-gmbh-1814034,http://www.muehle-stahmeln.de/,+493414611956,"Mühlenstrasse 17, DE-04159 Leipzig"
Der Kalchreuther Bäcker M. Wiehgärtner GmbH,https://www.wlw.de/de/firma/der-kalchreuther-baecker-m-wiehgaertner-gmbh-1860691,http://www.der-kalchreuther-baecker.de/,+49912627890,"Orchideenstrasse 17, DE-90542 Eckental"
H. MATTHES & SÖHNE OHG SCHLOSSMÜHLE,https://www.wlw.de/de/firma/h-matthes-soehne-ohg-schlossmuehle-1819776,http://www.schloss-korn.de/,+496154624690,"Darmstädter Strasse 112, DE-64372 Ober-Ramstadt"
A. Schäfer Hehrmühle GmbH & Co. KG,https://www.wlw.de/de/firma/a-schaefer-hehrmuehle-gmbh-co-kg-1819625,http://www.hehrmuehle.de/,+496642919550,"Zur Hehrmühle, DE-36110 Schlitz-Bernshausen"
Roland Mills Ost GmbH & Co. KG,https://www.wlw.de/de/firma/roland-mills-ost-gmbh-co-kg-526648,https://www.rolandmillsunited.de/,+4936038540,"Tonnaer Strasse 22-23, DE-99947 Bad Langensalza"
Coppenrath Feingebäck GmbH,https://www.wlw.de/de/firma/coppenrath-feingebaeck-gmbh-479705,http://www.coppenrath-feingebaeck.de/,+495937390,"Telgweg 14, DE-49744 Geeste"
Geha Mühlen & Back GmbH,https://www.wlw.de/de/firma/geha-muehlen-back-gmbh-598216,http://www.geha-muehlen.de/,+49358764880,"Mühlbergstrasse 26, DE-02627 Weißenberg"
Frankmühle e.K. Inhaber Dominik Frank,https://www.wlw.de/de/firma/frankmuehle-ek-inhaber-dominik-frank-1397811,http://www.frankmuehle.de/,+49725297800,"Untere Mühlstrasse 2, DE-75015 Bretten"
Birkholz GmbH,https://www.wlw.de/de/firma/birkholz-gmbh-618793,http://www.snack-flitzer.de/,+49524195830,"Saturnweg 15, DE-33332 Gütersloh"
Philippi Mühle GmbH,https://www.wlw.de/de/firma/philippi-muehle-gmbh-605198,http://philippi-muehle.de/,+491733286476,"Mühlstrasse 46, DE-61137 Schöneck"
